;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;R.C.L;I.W.I;L.S;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;10;BN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;1193.0;827.0635948538675;996.0;789.0405952415067;3790.0;767.7813116350937;2225.0;761.2396439905772;4397.0;756.1860602721853;2456.0;744.3390151495397;11386.0;1652.888658661987;8113.0;1625.2196364213894;17139.0;1364.4022482818204;8030.0;1324.0207578106408;28506.0;1903.0699537005191;17817.0;1833.9170635875107;
VNS GRASP CONSTRUCTIVE;3;10;BN + Interroute;Interroute + Relocation + Intraroute + TwoOpt;955.0;824.4770928752587;593.0;801.805548832533;1690.0;770.2501421728765;970.0;766.6644120147962;2802.0;770.2731410845743;1490.0;765.25798816343;6694.0;1659.71965069816;2190.0;1634.1465339404137;7125.0;1403.5352920367798;3023.0;1382.4629177309566;13900.0;1973.932593072989;9111.0;1952.8287621823843;
VNS GRASP CONSTRUCTIVE;3;10;BN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;229.0;817.4711581564512;185.0;787.8086948893184;302.0;769.5887183067873;231.0;759.6211518294012;392.0;758.582740815729;264.0;746.3999223572218;347.0;1672.3785407060127;279.0;1644.829356880037;470.0;1402.1345153326054;402.0;1362.917927746567;753.0;1989.6515663934138;553.0;1943.2326351771046;
VNS GRASP CONSTRUCTIVE;3;10;BN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;167.0;802.4291078714201;141.0;787.0818888551105;203.0;777.7621032163217;142.0;765.6848934417144;204.0;752.6489091698959;49.0;747.1049229308527;240.0;1673.478672661438;203.0;1622.546645876259;291.0;1400.1728200464763;274.0;1365.4478628180827;482.0;1940.384294244161;324.0;1883.2999122972826;
VNS GRASP CONSTRUCTIVE;3;10;FBN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;1219.0;832.5981919366604;876.0;825.9348274861911;3996.0;769.1244682444161;2151.0;758.5144656996924;5856.0;759.9362164678707;3569.0;752.0593486317288;6943.0;1661.5264014553545;4117.0;1644.6111236373113;4814.0;1398.9649181591358;2151.0;1387.9874872058679;9114.0;1988.814773593776;2896.0;1946.0157182757277;
VNS GRASP CONSTRUCTIVE;3;10;FBN + InterrouteSwap;Interroute + Relocation + Intraroute + TwoOpt;273.0;839.5169039267327;111.0;815.139846960818;702.0;777.1319239382892;371.0;763.7182620675106;1184.0;763.1817420820734;902.0;759.4165179837714;2474.0;1652.4544081636784;1050.0;1636.3085404859821;1963.0;1376.389015356885;612.0;1359.8530699715961;5373.0;1963.161103952592;3594.0;1916.8987243266977;
VNS GRASP CONSTRUCTIVE;3;10;FBN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;92.0;824.9561142134331;60.0;792.8605595082033;80.0;776.8655935765121;50.0;768.1972391105393;216.0;754.4448820124437;133.0;746.8006753553351;179.0;1679.5179556399694;110.0;1643.8265275857525;305.0;1398.3829158492874;117.0;1355.1864921730908;346.0;1934.3012310987535;174.0;1878.1603173026585;
VNS GRASP CONSTRUCTIVE;3;10;FBN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;52.0;809.2821015400368;32.0;787.0818888551104;66.0;779.9652452427335;35.0;774.8794377793796;71.0;758.752950498375;42.0;755.0818290311374;74.0;1687.2143524758078;54.0;1650.2242449008402;106.0;1395.6070261479363;72.0;1366.2713161606584;150.0;1941.4949083324864;88.0;1861.3985136304932;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;201.0;832.0618329622866;137.0;802.9745853062302;255.0;770.5817911071742;164.0;758.8768978520465;286.0;760.0296966135822;142.0;753.4906154871454;429.0;1700.2711343335482;314.0;1679.5673415876263;502.0;1402.4897899895702;423.0;1374.2700071247928;860.0;1966.7134195054648;539.0;1923.9955611144237;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;986.0;804.973273494872;707.0;787.0818888551103;1750.0;768.0959831686453;1430.0;748.5387289012392;2565.0;749.3729278831703;1504.0;744.3390151495402;3815.0;1639.0355772592513;3117.0;1617.307834194898;9604.0;1381.4629792765013;4923.0;1345.667084233691;11807.0;1872.7801160112172;8630.0;1853.232743115787;
VNS GRASP CONSTRUCTIVE;3;10;VND + Interroute + Relocation + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;1044.0;818.1799142931536;922.0;787.8086948893184;2460.0;764.1739141703487;1415.0;748.4605016867749;2153.0;752.953727304632;1738.0;747.5827109542399;3779.0;1661.348899377204;2995.0;1614.3752006098932;8654.0;1344.0608840776417;6296.0;1319.045234297235;11712.0;1916.2621674683512;5256.0;1879.2364311518836;
