;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;R.C.L;I.W.I;L.S;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;10;BN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;1195.0;821.5848549079752;653.0;787.0818888551105;3301.0;778.4127165502317;1734.0;759.8198415536258;5862.0;762.9051081994579;3371.0;756.6594676001894;8622.0;1655.476022269774;6583.0;1616.747376668827;6639.0;1379.7132923988372;5035.0;1359.3687426327024;29973.0;1938.968410508016;9366.0;1897.6840356147716;
VNS GRASP CONSTRUCTIVE;3;10;BN + Interroute;Intraroute + Interroute + Relocation + TwoOpt;719.0;813.3635212070483;545.0;803.7495790730651;2045.0;775.8109220666709;1092.0;763.8627961263917;2095.0;771.9254250259025;1437.0;752.8967627488124;8030.0;1645.0255990780756;4040.0;1637.4005926742132;8492.0;1393.0935703836549;3251.0;1339.4927797853566;16667.0;1954.1092955290217;5254.0;1919.699319392247;
VNS GRASP CONSTRUCTIVE;3;10;BN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;206.0;822.9907967475754;159.0;787.0818888551105;235.0;774.045058553664;142.0;766.0582372658138;371.0;770.3336269057768;182.0;758.6268889290864;409.0;1676.4623117270553;221.0;1648.2619123164359;671.0;1403.070651625867;342.0;1345.0048326474157;944.0;1975.911046544182;532.0;1913.774987138983;
VNS GRASP CONSTRUCTIVE;3;10;BN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;165.0;841.4018901059842;126.0;827.1674447723947;210.0;782.0131005741621;148.0;771.7896473064396;196.0;755.3006421308727;149.0;750.0006761861811;182.0;1668.1790710418318;151.0;1652.067971649185;342.0;1417.9728892144117;213.0;1401.6136970746916;469.0;1950.2994796746611;368.0;1920.4314013130145;
VNS GRASP CONSTRUCTIVE;3;10;FBN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;1275.0;833.2688786667916;762.0;788.4563358804127;4046.0;765.2854184403279;1951.0;749.9047328645833;4590.0;765.9499446654027;3170.0;750.9662699494249;7029.0;1682.7989189710381;3172.0;1644.5767261668525;6980.0;1413.2985016995021;3014.0;1390.4467254236506;6750.0;1981.6612678409736;2545.0;1950.9284930028693;
VNS GRASP CONSTRUCTIVE;3;10;FBN + InterrouteSwap;Intraroute + Interroute + Relocation + TwoOpt;259.0;837.2939180881847;189.0;813.2560727786458;724.0;775.9661076654793;259.0;766.1463972661801;956.0;766.2206253840102;533.0;758.845905413733;2616.0;1665.6468892821813;1536.0;1643.2180232272792;3141.0;1388.1976153720177;1378.0;1334.6026105345939;3260.0;1979.2358769100144;1326.0;1965.1094363149682;
VNS GRASP CONSTRUCTIVE;3;10;FBN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;115.0;829.103353986311;59.0;803.2737761180537;83.0;771.7680289313548;44.0;767.173955009111;93.0;761.8664294548923;49.0;748.5919018308236;123.0;1647.9956226776867;67.0;1624.8300553875088;193.0;1418.0537410358168;92.0;1363.9093824641388;239.0;1942.509649927626;127.0;1908.3433352088844;
VNS GRASP CONSTRUCTIVE;3;10;FBN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;90.0;824.2357787623762;60.0;787.8086948893184;60.0;767.2027998794177;33.0;759.161913652256;60.0;757.2570491428841;27.0;746.8006753553352;64.0;1685.8323431505028;40.0;1665.0392973273438;226.0;1389.2630385082914;111.0;1369.5138955659222;201.0;1977.3534720086748;170.0;1938.1537928528953;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;133.0;824.4888484390937;98.0;787.8086948893184;238.0;768.1922515742096;169.0;760.226199390254;222.0;757.8051552366753;161.0;746.9204400330624;214.0;1678.2300632239287;158.0;1644.2995613081896;459.0;1405.6125493437285;317.0;1332.07758899822;785.0;1928.5697502916162;499.0;1893.5889266376364;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;934.0;805.0306463159276;735.0;787.8086948893184;2848.0;762.0638713582106;1257.0;756.0670059219544;3030.0;749.1313193997619;1708.0;744.3390151495398;3724.0;1648.972258055174;2340.0;1614.817517445689;8886.0;1356.9780552181812;6613.0;1335.0422559247856;19126.0;1887.9784753275483;6005.0;1857.5328788278844;
VNS GRASP CONSTRUCTIVE;3;10;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;1289.0;823.2990116178707;735.0;787.8086948893184;2350.0;775.537024901678;1473.0;759.1665882054835;3390.0;757.6932523935257;2528.0;745.7547849593117;4751.0;1627.6860175972354;2474.0;1618.4975751888312;7739.0;1371.8633480072317;4884.0;1315.0598168212375;11824.0;1884.0732978235312;6038.0;1814.6758675226356;
