;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;50;BN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;3917.0;844.4569928469422;3149.0;815.3858248221769;9068.0;771.8152820316196;6785.0;752.2265059059474;33448.0;771.9333306101267;15426.0;746.6977240849544;40040.0;1660.7938533583012;21508.0;1635.9921212057932;80779.0;1390.8025985033441;40328.0;1334.0056290590608;112033.0;1918.0802244018644;76742.0;1887.3380582975335;
VNS GRASP CONSTRUCTIVE;3;50;BN + Interroute;Interroute + Relocation + Intraroute + TwoOpt;8320.0;845.9919898322553;4480.0;808.2332201065537;23881.0;770.4066349222537;17214.0;751.576692796072;38888.0;778.897622697123;19177.0;758.2911457755287;49163.0;1661.2875812887837;25317.0;1648.0711760954518;71884.0;1380.0365297721523;56703.0;1335.6433109790876;110690.0;1953.650310241203;66108.0;1886.1064177241765;
VNS GRASP CONSTRUCTIVE;3;50;BN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;2491.0;874.4833052578149;1602.0;834.122419858372;2902.0;895.0526576391483;1562.0;838.976347591823;3286.0;1067.1794256402031;2307.0;973.9258475309265;3865.0;1874.6157524834275;2190.0;1780.93815504399;5784.0;1617.7717827961;3702.0;1541.3555861020159;7992.0;2212.881662672041;3718.0;1993.8195797019937;
VNS GRASP CONSTRUCTIVE;3;50;BN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;1170.0;943.6379717036904;845.0;875.872498647695;1779.0;858.8734008224162;1127.0;827.6800769421891;1498.0;1054.56846882292;1067.0;952.4135728043123;1913.0;1853.7576103000822;1123.0;1809.9850844471998;2889.0;1662.8569118659095;1370.0;1597.0562128708846;2441.0;2222.4957199416726;1867.0;2148.0325758862173;
VNS GRASP CONSTRUCTIVE;3;50;FBN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;5847.0;827.7832918627031;3058.0;789.1512229768529;13136.0;777.4296890465469;5809.0;760.0520561812559;16787.0;773.3983554318277;10546.0;744.2280442400834;27016.0;1693.1633287679517;19844.0;1646.9533871468032;38415.0;1437.7315209734745;21818.0;1376.3914388183837;55838.0;2011.286698108445;34972.0;1908.4191228338427;
VNS GRASP CONSTRUCTIVE;3;50;FBN + InterrouteSwap;Interroute + Relocation + Intraroute + TwoOpt;3226.0;827.4105451068754;1556.0;788.3358240495288;8435.0;774.5930328986863;5237.0;768.1318524482969;11912.0;761.383168882771;8676.0;745.8225181638248;14974.0;1668.5766088919504;8307.0;1650.0632621085335;22832.0;1371.0003047181513;13190.0;1341.050614167334;29742.0;1938.7561192542348;17398.0;1883.3530564951088;
VNS GRASP CONSTRUCTIVE;3;50;FBN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;1041.0;895.9753178602508;466.0;817.790322609176;1141.0;885.3314924862864;534.0;855.4153912052617;1256.0;969.1148454940097;660.0;899.4193349976274;1180.0;1826.8049779569367;966.0;1748.3577264939956;2070.0;1656.4929858387509;1045.0;1583.1202544270545;2406.0;2172.0311648038232;1725.0;2072.4895162883836;
VNS GRASP CONSTRUCTIVE;3;50;FBN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;537.0;951.8458804134082;397.0;910.5862785056707;613.0;885.5218315966864;455.0;841.796360464275;957.0;960.659748990839;735.0;858.9095351349429;849.0;1891.608188691905;607.0;1800.960259463343;1521.0;1641.5535516282646;416.0;1571.3645408067966;2121.0;2159.78659589519;970.0;2069.887673059338;
VNS GRASP CONSTRUCTIVE;3;50;VND + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;2224.0;935.230685726722;1668.0;890.7560320840445;5059.0;863.8333045540345;1912.0;825.7409748091864;4080.0;932.0676513637343;1854.0;907.7672452227584;4548.0;1880.5660473359244;2969.0;1744.9749709108335;7641.0;1570.3047504231276;2469.0;1430.0825143421616;8391.0;2201.0778111709014;3170.0;2135.551457082324;
VNS GRASP CONSTRUCTIVE;3;50;VND + Intraroute + Interroute + Relocation + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;4267.0;841.5354535890143;3719.0;831.0185746147714;10565.0;769.3493904132553;6972.0;754.2345355336324;11071.0;754.581087344269;8216.0;746.6897044458786;23685.0;1659.5509494034407;11419.0;1608.9960144005233;22435.0;1367.9224603388193;15770.0;1324.1760461514818;46939.0;1867.3228350424101;26854.0;1830.1054091253636;
VNS GRASP CONSTRUCTIVE;3;50;VND + Interroute + Relocation + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;5745.0;822.6508847635818;3909.0;787.0818888551105;10675.0;772.5098560237578;7544.0;758.2337462062868;13981.0;750.9031600967309;10074.0;744.3390151495399;24736.0;1662.770260515134;15125.0;1610.9962159144072;51026.0;1365.0994105577588;24578.0;1335.159393084473;72451.0;1905.3939734381252;57668.0;1857.1690320663183;
