;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;50;BN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;6573.0;824.8365625678744;5005.0;806.5512073021426;11272.0;790.4550209798341;6003.0;774.9766499704854;29675.0;779.5700899124565;22417.0;748.8985683719021;54676.0;1658.2669613302;41398.0;1619.0961258386517;76320.0;1400.9336543570068;63090.0;1369.7539467834486;117046.0;1910.2021534039523;82233.0;1887.353618288501;
VNS GRASP CONSTRUCTIVE;3;50;BN + Interroute;Intraroute + Interroute + Relocation + TwoOpt;7429.0;823.7184082209787;5815.0;798.2767332108241;23229.0;783.8380526672296;11036.0;766.5009690420395;33641.0;807.2938544770279;20592.0;787.1476247892778;50162.0;1673.3990079100563;35079.0;1654.6025992963082;63654.0;1408.7686263499475;39407.0;1341.4861735039465;121712.0;1908.1456754384017;88285.0;1861.8430221461626;
VNS GRASP CONSTRUCTIVE;3;50;BN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;2077.0;922.5815200526182;1363.0;857.3400236458529;3444.0;908.3978044158309;2141.0;845.2618960014715;3696.0;992.2344091409399;2546.0;920.8021462491139;3297.0;1888.7740726064599;1663.0;1782.993594010151;4545.0;1650.7507125258267;2374.0;1554.9393369219927;7767.0;2253.1572207585405;4407.0;2150.7342441068795;
VNS GRASP CONSTRUCTIVE;3;50;BN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;1528.0;905.3347686327925;948.0;851.8409460221301;1945.0;871.3642521689131;1162.0;841.3480870200832;2243.0;1014.1672326504282;1292.0;946.1920996778139;2344.0;1888.7581520216675;1731.0;1765.7714562770523;3280.0;1584.8513850645843;1678.0;1481.1047218153926;3056.0;2167.401320867691;1791.0;2074.480995628972;
VNS GRASP CONSTRUCTIVE;3;50;FBN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;5866.0;852.5615079178654;2960.0;787.0818888551104;15764.0;763.4812647582542;8619.0;749.3367368105894;19343.0;757.0323387631954;15422.0;745.9334890732814;24807.0;1741.9037969244564;17300.0;1663.3114946279868;37161.0;1443.8253860172847;29554.0;1392.9362706053503;70645.0;1997.057286415779;35043.0;1931.4596621000633;
VNS GRASP CONSTRUCTIVE;3;50;FBN + InterrouteSwap;Intraroute + Interroute + Relocation + TwoOpt;3172.0;824.0891195963698;2018.0;793.6413590590776;7260.0;771.1564468031594;4655.0;751.8459170530969;9859.0;780.9694929693715;6461.0;755.9509911521865;15332.0;1657.8350218063492;6646.0;1640.1107341353431;17231.0;1386.6637974546109;9984.0;1365.979023354367;32373.0;1926.7536499237376;29785.0;1867.1911784569554;
VNS GRASP CONSTRUCTIVE;3;50;FBN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;1039.0;898.5420452237915;653.0;845.871190003234;867.0;885.5917197834293;453.0;828.6111263188822;1727.0;967.0419838609229;616.0;853.8747860898296;876.0;1919.8377379085803;683.0;1864.607876911682;2095.0;1627.9655025081752;1057.0;1548.1791867236964;2087.0;2155.764665344435;1153.0;2109.9594429059016;
VNS GRASP CONSTRUCTIVE;3;50;FBN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;609.0;915.9572654790858;476.0;890.7786517694276;746.0;892.9991986419833;357.0;845.7435579517588;985.0;1020.4784065123379;854.0;964.8239049981769;1272.0;1906.013193584828;480.0;1825.8367108644238;1680.0;1574.9050539739414;929.0;1496.5420758837968;1267.0;2192.091320064442;929.0;2102.5800759482718;
VNS GRASP CONSTRUCTIVE;3;50;VND + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;1680.0;963.4427531342924;1002.0;927.4819037654901;3210.0;860.6395076831475;2749.0;839.656116683088;3189.0;979.8206924965937;2004.0;917.6169640702052;3828.0;1881.8361984933592;2713.0;1841.6921537585583;6390.0;1629.0712414631778;3543.0;1535.8925993611174;10354.0;2211.89385376301;3826.0;2174.5526514908934;
VNS GRASP CONSTRUCTIVE;3;50;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;4718.0;832.7211942258049;3111.0;787.8086948893184;10171.0;768.0900652991859;7141.0;749.5583914933461;9861.0;749.598418046203;8596.0;745.1709833657262;18865.0;1630.6870173122807;11260.0;1609.3281662595498;26019.0;1387.837826060008;15310.0;1337.2279258734168;53952.0;1918.7995431030788;30471.0;1886.90034158071;
VNS GRASP CONSTRUCTIVE;3;50;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;6573.0;813.8230762866235;4563.0;787.0818888551103;13659.0;765.2534567470354;7814.0;752.0917787939378;13323.0;772.367957415996;8851.0;744.3390151495398;24712.0;1686.4802099462934;14626.0;1645.2866821295715;35199.0;1361.8687860961704;26296.0;1330.530784471149;94745.0;1903.8458749602482;56823.0;1873.3278175264618;
