;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;50;BN + Relocation;Intraroute + TwoOpt;2154.0;838.1592836856029;1089.0;830.6641657745265;4832.0;780.3633598411159;3499.0;757.6792010623567;9773.0;788.3743036067515;4823.0;745.8667199756088;19950.0;1680.4292680605831;16150.0;1618.1345382553077;42900.0;1434.552316875728;24521.0;1410.5962355310285;41276.0;2057.466832112669;33896.0;1930.870417873333;
VNS GRASP CONSTRUCTIVE;3;50;BN + Interroute;Intraroute + TwoOpt;2814.0;912.112805764233;1543.0;822.1236754763215;11397.0;867.9756127318244;4828.0;825.2729914163912;11661.0;887.9547384790036;5163.0;862.9900322731127;17526.0;1770.3448460139894;9762.0;1704.485854726259;36631.0;1484.8351614891315;23760.0;1421.158925462686;56110.0;2022.5977950821612;39776.0;1969.467061883369;
VNS GRASP CONSTRUCTIVE;3;50;BN + IntrarouteSwap;Intraroute + TwoOpt;373.0;1122.032394359182;109.0;1102.5743668102696;700.0;1025.8124471019335;466.0;1006.3825675342434;919.0;1080.877899108376;541.0;1023.6786233424131;888.0;1956.7391682691105;507.0;1942.856004217997;2072.0;1806.8574107464065;1210.0;1729.0229938936486;2583.0;2319.2251473020538;1151.0;2244.7592311214125;
VNS GRASP CONSTRUCTIVE;3;50;BN + TwoOpt;Intraroute + TwoOpt;210.0;1146.851113870501;158.0;1062.0528099446817;336.0;1010.7481035564222;258.0;933.8603815632099;427.0;1149.3897871331578;372.0;1043.4431696206727;372.0;2003.8749544556576;343.0;1950.9678133127059;724.0;1766.9834497398344;553.0;1711.3002784228229;785.0;2261.865327293399;727.0;2188.4491753182806;
VNS GRASP CONSTRUCTIVE;3;50;FBN + Relocation;Intraroute + TwoOpt;4959.0;976.5944452845239;2479.0;884.5269484879848;12533.0;822.1098733981526;8170.0;778.9468282329502;19753.0;843.3759916243692;13780.0;772.490985934812;21668.0;1794.4631408787081;15679.0;1739.1100115349755;32856.0;1523.178051955506;17815.0;1469.4242852926523;51073.0;2110.4442028417025;31595.0;2078.9801178580956;
VNS GRASP CONSTRUCTIVE;3;50;FBN + InterrouteSwap;Intraroute + TwoOpt;2310.0;882.7203408326889;1592.0;844.6761014539038;5768.0;841.3995157780452;3403.0;793.1989363359853;9655.0;899.7504007728;6799.0;846.9594840469686;15559.0;1736.1557359157646;10923.0;1674.3552501917604;29205.0;1469.7912340242417;19589.0;1429.591409858519;38580.0;2001.6050519375906;27633.0;1926.0805144332155;
VNS GRASP CONSTRUCTIVE;3;50;FBN + IntrarouteSwap;Intraroute + TwoOpt;579.0;1129.0913675741992;188.0;1109.2987978168242;608.0;963.4454271454293;478.0;926.115209018922;664.0;1126.0806569432552;474.0;1050.1227324960682;752.0;1995.2399391813801;376.0;1945.728671416045;1682.0;1813.9525038233728;1166.0;1670.820557855404;1786.0;2279.2890709034937;1256.0;2174.223015965998;
VNS GRASP CONSTRUCTIVE;3;50;FBN + TwoOpt;Intraroute + TwoOpt;312.0;1165.9740965903507;158.0;1096.4994810863454;310.0;942.119851201729;243.0;914.6732276465625;451.0;1151.2759359721263;300.0;1013.4641377261488;450.0;1956.571431536066;254.0;1919.5658099837633;562.0;1756.8231358614225;405.0;1591.0391668035147;799.0;2279.9791334469605;461.0;2189.289694378308;
VNS GRASP CONSTRUCTIVE;3;50;VND + Intraroute + TwoOpt;Intraroute + TwoOpt;720.0;1152.505926963647;522.0;1083.8066024365733;1305.0;1008.8051941052911;1076.0;947.9936304009844;1754.0;1126.2336132348914;1053.0;1022.8684946790829;1552.0;2027.6745245356851;1329.0;1930.0838814021274;3378.0;1820.1707437762925;2322.0;1754.1947835961923;3705.0;2265.5980579760976;2923.0;2170.621020055444;
VNS GRASP CONSTRUCTIVE;3;50;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + TwoOpt;6942.0;838.3772811523331;5407.0;828.7001475272228;10367.0;775.3408103455404;8712.0;751.0380722191052;12961.0;752.94885188275;9833.0;744.2280442400832;20453.0;1661.6547151981108;16440.0;1632.7186468074192;23473.0;1407.0295069787296;18806.0;1368.814569967153;37645.0;1947.997373105914;21757.0;1912.1381805416524;
VNS GRASP CONSTRUCTIVE;3;50;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + TwoOpt;4409.0;827.8087678228346;3901.0;805.6487016860004;8604.0;785.3145914993314;5788.0;752.1653283667072;13937.0;788.1648021894217;10632.0;755.2133191104019;20585.0;1639.6931192089432;11873.0;1617.9890398572084;26627.0;1377.6082491408329;20529.0;1348.6047362904965;56636.0;1945.4117715117056;40378.0;1890.5441181898693;
