;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;R.C.L;I.W.I;L.S;ITERATION;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;
GRASP;3;50;BN + Relocation;1;57;107;795;1257;834.6896678741796;56;106;921;1592;775.1345267281591;15;65;327;1369;763.666405771117;21;71;548;1998;1658.4672284085711;9;59;339;2423;1416.207616010918;20;70;1525;4922;1976.8880652158327;
GRASP;3;50;BN + Relocation;2;89;139;572;842;789.7674012757145;112;162;1722;2407;761.5201267134682;120;170;2645;3808;754.3617323636021;20;70;664;2250;1679.8129695637542;45;95;2005;4338;1367.7697804503896;37;87;2763;6936;1963.3885347435312;
GRASP;3;50;BN + Relocation;3;43;93;250;554;787.8086948893184;50;100;711;1743;770.1757598666504;2;52;57;1233;767.3922965779309;10;60;323;2090;1690.5184456998097;88;138;4195;6627;1402.1994596853674;28;78;2070;6865;1987.6560919696171;
GRASP;3;50;BN + Relocation;4;6;56;37;459;808.367528575593;7;57;121;923;782.4575337326562;11;61;371;1600;760.0787740669954;4;54;119;2034;1689.023184521892;59;109;2881;5358;1401.198653279819;22;72;1787;5828;1931.3476435940954;
GRASP;3;50;BN + Relocation;5;50;100;317;650;806.0960785684604;106;156;1792;2734;760.5404561858143;2;52;51;1339;771.0790916848191;21;71;881;2701;1635.366624304308;42;92;2181;4978;1374.43803474102;46;96;3830;7686;1985.595801339846;
GRASP;3;50;BN + Relocation;6;30;80;231;575;808.4383601162691;1;51;10;773;760.6226917405108;10;60;260;1596;770.4987007245479;12;62;387;2120;1649.8441335303116;14;64;825;3724;1424.1057442548592;36;86;2187;5106;1986.0019121040868;
GRASP;3;50;BN + Relocation;7;44;94;249;487;794.7473475745318;86;136;1055;1633;770.3110808831501;61;111;1073;1904;759.7409681378351;26;76;796;2134;1671.5162411323852;131;181;5102;7164;1389.759940569525;53;103;3279;6139;1953.37470250682;
GRASP;3;50;BN + Relocation;8;5;55;36;279;790.3307802084022;81;131;1107;1803;750.4017661084861;2;52;37;1115;778.2054407615781;86;136;2028;2943;1687.7353535599443;39;89;1014;2462;1419.158268002552;27;77;1067;3186;1985.5667852619542;
GRASP;3;50;BN + Relocation;9;55;105;220;381;805.7011891902432;58;108;538;950;772.1717787918952;12;62;136;767;782.4319791798636;73;123;1328;2374;1668.4564401293442;19;69;573;2001;1427.0291829783255;36;86;1489;3685;1958.9813033832372;
