;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
MULTIBOOT;5;BN + Relocation;121;848,32689;96;829,62692;152;797,39322;103;778,37435;286;841,19736;197;787,12037;486;1.711,93619;337;1.675,41249;769;1.468,91674;377;1.443,7645;915;2.046,47934;803;1.954,2502;
MULTIBOOT;5;BN + Interroute;48;955,46573;16;908,55835;81;888,81659;54;813,46417;120;1.011,49838;99;952,48072;253;1.791,81562;208;1.745,75027;343;1.581,51911;159;1.506,74281;707;2.220,3129;477;2.155,04557;
MULTIBOOT;5;BN + IntrarouteSwap;23;1.295,91254;5;1.247,80636;14;1.160,72057;9;1.117,85449;15;1.652,73499;8;1.568,93031;16;2.427,2626;10;2.342,64864;23;2.310,57143;18;2.220,1144;29;3.104,21332;21;2.990,71509;
MULTIBOOT;5;BN + TwoOpt;13;1.273,16464;6;1.183,06635;13;1.149,87937;6;1.119,57315;19;1.551,82087;12;1.442,11692;18;2.339,80319;13;2.328,39019;24;2.223,82967;16;2.140,30285;29;3.021,90583;23;2.893,00711;
MULTIBOOT;5;FBN + Relocation;51;921,03231;40;848,39148;158;828,41761;111;805,50902;240;821,6462;214;781,41451;252;1.920,35454;178;1.814,59061;527;1.639,51032;316;1.473,56068;1.429;2.177,34545;1.044;2.120,56372;
MULTIBOOT;5;FBN + InterrouteSwap;32;964,4422;17;915,11622;52;898,1874;24;834,47283;124;951,45527;87;913,47181;211;1.778,10591;140;1.760,89981;208;1.594,51819;91;1.564,85044;321;2.181,38875;202;2.112,23078;
MULTIBOOT;5;FBN + IntrarouteSwap;4;1.350,21302;2;1.336,27445;9;1.193,54911;5;1.170,21846;19;1.701,77141;14;1.618,9587;13;2.437,25201;10;2.374,49475;21;2.367,14638;13;2.300,43088;47;3.148,59364;25;2.974,81291;
MULTIBOOT;5;FBN + TwoOpt;2;1.276,22559;2;1.164,52732;4;1.132,86113;3;1.113,95665;11;1.568,52598;6;1.517,31998;8;2.320,10212;3;2.251,65925;25;2.231,92532;6;2.195,61363;34;2.965,41074;17;2.875,48191;
;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
MULTIBOOT;10;BN + Relocation;155;836,63708;85;812,56474;398;778,50861;268;764,14102;632;782,8311;458;763,0674;653;1.714,2601;558;1.689,11622;1.101;1.426,91327;836;1.387,76792;2.507;2.019,5032;1.938;1.969,05543;
MULTIBOOT;10;BN + Interroute;46;979,47949;34;921,55424;136;859,83392;88;847,17197;274;978,8449;151;920,48658;454;1.796,01446;286;1.755,91883;504;1.597,60778;340;1.545,37887;1.715;2.189,88951;1.062;2.135,60151;
