;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;I.W.I;L.S;ITERATION;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;
MULTIBOOT;10;BN + Relocation;1;8;18;196;294;841.4646498366119;2;12;71;344;803.4824131341752;16;26;499;747;762.0857253910157;7;17;286;615;1665.9392780912056;1;11;61;580;1481.4637270172882;24;34;2416;3380;1962.8020501553137;
MULTIBOOT;10;BN + Relocation;2;12;22;60;120;837.1971212713424;12;22;175;322;808.2348008868348;6;16;157;362;826.2632205164916;3;13;107;418;1745.1743546971175;5;15;259;722;1450.0420219333278;5;15;566;1687;1994.5924740942503;
MULTIBOOT;10;BN + Relocation;3;5;15;28;84;841.7001339244459;9;19;135;277;768.933025848055;5;15;125;350;808.9293965834829;2;12;62;375;1752.3517476158993;15;25;729;1166;1460.5228975628745;1;11;146;1111;1983.2980304656687;
MULTIBOOT;10;BN + Relocation;4;6;16;27;92;834.7612817109825;1;11;16;165;788.2637904259507;6;16;152;379;786.3068429733994;3;13;100;426;1712.5623056144345;4;14;200;700;1470.2358348388364;22;32;2355;3416;1982.586175106501;
MULTIBOOT;10;BN + Relocation;5;34;44;239;302;817.345158019127;3;13;53;249;780.9929960311999;1;11;27;289;763.1679959425903;1;11;36;413;1736.2686415254489;15;25;806;1289;1407.7634478485256;3;13;379;1504;2029.0223149882565;
MULTIBOOT;10;BN + Relocation;6;4;14;20;74;828.9323565174819;8;18;152;310;778.7316958936124;27;37;652;885;794.2841897464472;2;12;77;398;1765.847230159021;18;28;924;1438;1410.4189698050548;28;38;3035;4132;2007.8450736272107;
MULTIBOOT;10;BN + Relocation;7;7;17;35;93;868.6981746431966;8;18;134;309;793.5583526463514;1;11;42;341;766.4028005648044;5;15;207;556;1760.9125309734382;10;20;494;968;1426.1787633977153;7;17;806;1846;2017.3022081267447;
MULTIBOOT;10;BN + Relocation;8;6;16;30;97;834.3578768886855;9;19;162;311;777.251940797853;12;22;317;543;764.7048592531908;14;24;503;820;1739.9381059500954;3;13;214;820;1427.0853445498751;12;22;1233;2307;2034.3246024219084;
MULTIBOOT;10;BN + Relocation;9;9;19;50;105;834.6199186008267;14;24;231;369;787.9229630700243;1;11;28;308;821.5587798735367;12;22;422;728;1777.473912950006;9;19;459;914;1413.1540035791368;13;23;1432;2388;2013.548938297047;
MULTIBOOT;10;BN + Relocation;10;16;26;84;150;858.6953771568086;8;18;140;274;761.4733650406256;17;27;416;650;755.273630486834;1;11;41;362;1731.0711228523794;11;21;592;1083;1468.8627549232913;12;22;1353;2517;1986.5370525735032;
MULTIBOOT;10;BN + Interroute;1;12;22;107;155;972.7321921229661;8;18;84;159;833.9103494857521;9;19;92;228;1003.3501244854508;6;16;121;306;1800.8657942986515;26;36;666;903;1576.171575806818;2;12;124;798;2245.9505473460167;
MULTIBOOT;10;BN + Interroute;2;9;19;20;41;973.9371885920862;1;11;8;81;859.0802320986793;9;19;109;234;1023.5390550892121;14;24;289;469;1802.8750333589353;6;16;182;429;1587.2112634939363;11;21;719;1323;2141.454691213754;
MULTIBOOT;10;BN + Interroute;3;6;16;11;31;1007.5140288341292;4;14;32;107;909.0878770871323;2;12;32;157;999.1592223252493;16;26;358;556;1791.4093409222273;12;22;317;550;1534.9285326613233;12;22;765;1359;2211.4773533987177;
MULTIBOOT;10;BN + Interroute;4;19;29;54;90;954.856063872726;4;14;30;106;903.9894498089992;10;20;107;222;959.6633089354568;9;19;195;369;1814.1711666062577;7;17;189;424;1606.4611813024346;3;13;224;804;2225.8105348081917;
MULTIBOOT;10;BN + Interroute;5;11;21;26;49;936.5518659869083;15;25;121;181;899.8389962248285;7;17;80;190;935.9301735854774;16;26;328;509;1780.113895236227;1;11;26;275;1602.1406982903864;11;21;689;1300;2155.916626928984;
MULTIBOOT;10;BN + Interroute;6;27;37;65;91;932.6377328095109;17;27;135;204;852.5042245204397;6;16;70;184;970.7461668959138;3;13;66;254;1766.2149445372627;8;18;227;469;1576.3714101462413;4;14;280;843;2229.9968195732713;
MULTIBOOT;10;BN + Interroute;7;6;16;13;36;931.0957507617554;16;26;116;199;825.6535853070106;15;25;195;309;993.2386897352046;2;12;28;244;1810.6895180982824;9;19;241;469;1611.4165520922504;9;19;568;1117;2175.8422615718405;
